,title,catalog_product_id,site_id,category_id,domain_id,thumbnail,brand,package_length,package_weight,semantic_string
503,Audifonos Orejas De Gato Bluetooths 5.1 Led Diadema Ninos Color Negro,MLM28969778,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_687422-MLU73427895349_122023-I.jpg,FUBO,18.8 cm,340 g,Audifonos Orejas De Gato Bluetooths 5.1 Led Diadema Ninos Color Negro FUBO 18.8 cm 340 g
504,"Bafle Recargable Kaiser Ksw-5015mx, 25,000 W Pmpo Con Tripie Color Negro",MLM25902592,MLM,MLM2868,MLM-SPEAKERS,http://http2.mlstatic.com/D_600516-MLU72700170279_112023-I.jpg,Kaiser,,,"Bafle Recargable Kaiser Ksw-5015mx, 25,000 W Pmpo Con Tripie Color Negro Kaiser  "
505,Bocina Jbl Clip 4 Portátil Bluetooth 5.1 5w Ip67 Blanco,MLM17355238,MLM,MLM2868,MLM-SPEAKERS,http://http2.mlstatic.com/D_740815-MLU74827868345_022024-I.jpg,JBL,16.2 cm,360 g,Bocina Jbl Clip 4 Portátil Bluetooth 5.1 5w Ip67 Blanco JBL 16.2 cm 360 g
506,Smart Tv Philips 4700 Series 40pfl4775/f8 Led Roku Os Full Hd 40  120v,MLM16060480,MLM,MLM1002,MLM-TELEVISIONS,http://http2.mlstatic.com/D_646341-MLA43462510453_092020-I.jpg,Philips,101.2 cm,8160 g,Smart Tv Philips 4700 Series 40pfl4775/f8 Led Roku Os Full Hd 40  120v Philips 101.2 cm 8160 g
507,Audifonos Inalambricos Mini S800 Bluetooth Invisibles Bt 5.3 Compatible iPhone Y Android In-ear Rosa ,MLM26797728,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_971400-MLU71504038039_092023-I.jpg,Isdewatch,11 cm,60 g,Audifonos Inalambricos Mini S800 Bluetooth Invisibles Bt 5.3 Compatible iPhone Y Android In-ear Rosa  Isdewatch 11 cm 60 g
508,Bocina Slim Company Boc-reg-01 Portátil Con Bluetooth Waterproof Rosa 110v ,MLM16177113,MLM,MLM59800,MLM-SPEAKERS,http://http2.mlstatic.com/D_995996-MLA43970070368_112020-I.jpg,Slim Company,9.2 cm,120 g,Bocina Slim Company Boc-reg-01 Portátil Con Bluetooth Waterproof Rosa 110v  Slim Company 9.2 cm 120 g
509,Cafetera Oster Bvstdc05 Semi Automática Negra De Goteo 120v,MLM18059337,MLM,MLM187752,MLM-SMART_SPEAKERS,http://http2.mlstatic.com/D_709781-MLA46387801343_062021-I.jpg,Oster,,,Cafetera Oster Bvstdc05 Semi Automática Negra De Goteo 120v Oster  
510,Audífonos Inalámbricos Jbl True Wireless Vibe Buds Negros Color Negro Color De La Luz Negro,MLM23952701,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_736438-MLU74327362382_022024-I.jpg,JBL,13 cm,120 g,Audífonos Inalámbricos Jbl True Wireless Vibe Buds Negros Color Negro Color De La Luz Negro JBL 13 cm 120 g
511,Soporte Ele-gate Hold.58 De Pared Para Tv/monitor De 32  A 70  Negro,MLM18438994,MLM,MLM10574,MLM-TV_AND_MONITOR_MOUNTS,http://http2.mlstatic.com/D_623805-MLA74117422678_012024-I.jpg,Ele-Gate,,,Soporte Ele-gate Hold.58 De Pared Para Tv/monitor De 32  A 70  Negro Ele-Gate  
512,Bocina Bluetooth Soundbar Con Bass Reflex | Boc-881,MLM19477356,MLM,MLM59800,MLM-SPEAKERS,http://http2.mlstatic.com/D_807658-MLU73417446699_122023-I.jpg,Steren,7.6 cm,740 g,Bocina Bluetooth Soundbar Con Bass Reflex | Boc-881 Steren 7.6 cm 740 g
513,Audífonos In-ear Gamer Inalámbricos Xg-8 Rosa Con Luz Led,MLM19569066,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_974605-MLA51484015369_092022-I.jpg,Genérica,10.4 cm,60 g,Audífonos In-ear Gamer Inalámbricos Xg-8 Rosa Con Luz Led Genérica 10.4 cm 60 g
514,Smart Tv Vedd 32hap0001 Led 3d Hd 32  110v/240v,MLM27346159,MLM,MLM1002,MLM-TELEVISIONS,http://http2.mlstatic.com/D_690571-MLA71965996520_092023-I.jpg,VEDD,76 cm,4000 g,Smart Tv Vedd 32hap0001 Led 3d Hd 32  110v/240v VEDD 76 cm 4000 g
515,Licuadora T-fal 550w 12 Vel Potente 2.2l Vaso Vidrio Grande Color Blanco,MLM19589647,MLM,MLM187752,MLM-SMART_SPEAKERS,http://http2.mlstatic.com/D_891403-MLM50252719962_062022-I.jpg,T-fal,,,Licuadora T-fal 550w 12 Vel Potente 2.2l Vaso Vidrio Grande Color Blanco T-fal  
516,Hércules Ms432b Atril Soporte Base Para Micrófono Con Boom Color Negro,MLM26540374,MLM,MLM194137,MLM-MICROPHONE_STANDS,http://http2.mlstatic.com/D_609222-MLU74196993523_012024-I.jpg,Hércules,10.4 cm,2380 g,Hércules Ms432b Atril Soporte Base Para Micrófono Con Boom Color Negro Hércules 10.4 cm 2380 g
517,Audífonos Huawei Freeclip Diseño Estético Innovador Negro,MLM29351013,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_920782-MLU73594781252_122023-I.jpg,Huawei,10.2 cm,180 g,Audífonos Huawei Freeclip Diseño Estético Innovador Negro Huawei 10.2 cm 180 g
518,Tronsmart Halo 200 Bocina Bluetooth 120w Negra,414885589883978074,MLM,MLM59800,MLM-SPEAKERS,http://http2.mlstatic.com/D_907324-CBT70713835285_072023-I.jpg,Tronsmart,,,Tronsmart Halo 200 Bocina Bluetooth 120w Negra Tronsmart  
519,Paquete De 4 Pilas Recargables De Alta Capacidad  Aaa  Nimh,MLM14589669,MLM,MLM7552,MLM-CELL_BATTERIES,http://http2.mlstatic.com/D_905487-MLU72563395947_102023-I.jpg,Steren,10.4 cm,60 g,Paquete De 4 Pilas Recargables De Alta Capacidad  Aaa  Nimh Steren 10.4 cm 60 g
520,Audífonos Powerbeats Pro Totalmente Inalámbricos - Negro,MLM15293527,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_985919-MLA46760010854_072021-I.jpg,Beats,11.2 cm,380 g,Audífonos Powerbeats Pro Totalmente Inalámbricos - Negro Beats 11.2 cm 380 g
521,Smart Tv Samsung Series 7 Un58tu7000fxza Led Tizen 3d 4k 58  110v - 120v,MLM16280938,MLM,MLM1002,MLM-TELEVISIONS,http://http2.mlstatic.com/D_715499-MLA44297034392_122020-I.jpg,Samsung,,,Smart Tv Samsung Series 7 Un58tu7000fxza Led Tizen 3d 4k 58  110v - 120v Samsung  
522,Microfono Behringer Xm1800s (juego) Totalmente Nuevo Color Negro,MLM7567473,MLM,MLM438480,MLM-MICROPHONES,http://http2.mlstatic.com/D_799832-MLU72644639353_112023-I.jpg,Behringer,,,Microfono Behringer Xm1800s (juego) Totalmente Nuevo Color Negro Behringer  
523,Audífonos In-ear Inalámbricos Beats fit pro Negro,MLM19716969,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_733640-MLU73263333369_122023-I.jpg,Beats,8.6 cm,180 g,Audífonos In-ear Inalámbricos Beats fit pro Negro Beats 8.6 cm 180 g
524,Bocina Subwoofer Inalámbrico Sonos Sub Color Black,MLM15733073,MLM,MLM2868,MLM-SPEAKERS,http://http2.mlstatic.com/D_737635-MLU73328404948_122023-I.jpg,Sonos,,,Bocina Subwoofer Inalámbrico Sonos Sub Color Black Sonos  
525,"Plancha De Vapor Hamilton Beach Durathon 19803r Cable Retractil, Cerámica, Antihaderente, 110v Morado",MLM19695717,MLM,MLM187752,MLM-SMART_SPEAKERS,http://http2.mlstatic.com/D_959914-MLA51986232156_102022-I.jpg,Hamilton Beach,,,"Plancha De Vapor Hamilton Beach Durathon 19803r Cable Retractil, Cerámica, Antihaderente, 110v Morado Hamilton Beach  "
526,Audífonos In-ear Gamer Kz Auriculares Con Cable Zsn Pro With Mic Negro,MLM26195147,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_729590-MLA71106259678_082023-I.jpg,KZ,7.2 cm,60 g,Audífonos In-ear Gamer Kz Auriculares Con Cable Zsn Pro With Mic Negro KZ 7.2 cm 60 g
527,Cable Xlr 100m Balanceado Profesional Macho-hembra Steelpro,MLM22385769,MLM,MLM190072,MLM-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS,http://http2.mlstatic.com/D_624895-MLM50559638276_072022-I.jpg,Steelpro,26.9 cm,3800 g,Cable Xlr 100m Balanceado Profesional Macho-hembra Steelpro Steelpro 26.9 cm 3800 g
528,Miniprinter Ghia Impresora Térmica 58mm Gtp582 Autocortador Color Negro,MLM19629385,MLM,MLM59800,MLM-SPEAKERS,http://http2.mlstatic.com/D_820752-MLU74438447600_022024-I.jpg,Ghia,17.6 cm,1120 g,Miniprinter Ghia Impresora Térmica 58mm Gtp582 Autocortador Color Negro Ghia 17.6 cm 1120 g
